0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,2,0.367226864,6,4,0.258201702,6,,4,4,-1.144969476,3,0.744970892,1.198657695,8,1.450774691,-0.203479964,7,-0.720539319,0.455100658
5,,-0.957909302,5,4,-0.622692669,,1.253041747,5,7,-0.351949819,6,0.15506555,0.537489954,7,0.124915993,0.596242767,4,-0.748487595,1.701947524
5,3,-0.02532344,5,3,-0.205104654,5,1.935711578,3,5,-1.125377123,4,1.339868652,0.257055207,5,0.963986914,-0.119324086,6,0.134284108,-0.01958616
7,2,-0.276148374,,5,0.709410674,8,2.815076332,5,5,-1.703040707,3,0.852819221,0.357297035,6,-1.687568744,-0.292334144,5,-0.688940072,-0.628006449
4,5,1.246114323,4,2,0.292026729,3,0.671938925,4,4,-0.445409033,4,-1.035119547,-0.22583792,6,-1.119412105,-0.139364631,6,0.172081741,-0.916620424
6,6,1.015536772,8,4,0.961729368,6,-3.615646149,4,6,1.906365525,7,-0.907462096,-0.561264998,4,-0.156570366,-0.127126307,6,-0.727607309,0.109807867
6,3,0.95374771,5,6,1.17479424,6,-3.28101211,6,5,0.872918092,2,1.081872423,0.813016836,7,-1.095658311,-1.648224308,5,0.980411541,-1.186357961
7,4,-3.581229974,8,6,-0.08895873,7,3.448369153,7,6,-0.821504627,9,0.118957406,-1.247058407,7,-0.303227212,1.903894834,5,0.98638704,1.633829518
1,2,0.731828393,4,6,0.741109803,5,2.529947104,5,6,-0.611933197,8,-0.662848219,0.423948826,7,-0.822451216,1.380322147,5,1.722236507,1.161278938
5,5,-1.612812445,4,5,-1.179746966,3,-3.363346812,6,4,0.881710092,2,0.418230358,-1.732759318,10,-2.202782938,-1.713039972,7,0.683965606,0.239473765
4,6,1.453696104,6,4,-1.742858189,4,-2.426512764,8,6,0.331046672,1,0.241592416,0.18351984,3,-0.488276967,-1.781539621,6,2.125702214,-0.56000738
4,3,-1.19602395,4,5,1.435276618,4,-2.395517981,5,2,1.287545951,6,-0.654605927,-0.897528123,5,1.48241475,-0.0404082,5,-0.168912107,0.193840924
6,5,1.117589824,8,4,-1.14026775,6,-2.840197797,6,6,0.87919066,3,0.684878431,0.805151663,5,0.965478602,-1.205793097,4,0.213730309,-1.069328429
5,3,-0.187416689,6,6,2.042223587,3,-1.592161697,4,3,0.450788569,4,-1.434583754,-0.701857374,6,0.187201879,-0.751190847,4,-0.333667839,-0.213809211
6,5,0.440417487,2,7,-0.049596409,6,-0.369861314,4,6,0.564748757,7,-0.680539277,-0.800386387,5,-0.535386406,0.648315212,6,1.031870985,0.191569129
6,5,-1.940381931,4,4,0.019801628,4,-2.228710896,5,9,0.520206326,3,-0.638678125,-0.269837076,6,-0.336121933,-1.249712145,2,-0.056868333,1.746818246
5,3,2.276531071,4,5,-0.490815155,5,-2.223143253,4,4,0.627210679,3,-0.926825625,1.643503491,7,-0.419185229,-1.052875874,5,2.312863144,-0.235480729
2,4,-0.565824834,4,6,0.807167508,6,0.560679287,6,3,-0.260758633,5,-0.869156575,1.819991045,4,-0.662446177,0.082068342,4,-0.220233947,-0.129211344
5,4,-0.312979874,4,6,-0.545410762,5,1.375374174,5,4,-0.786916802,4,1.415234084,-0.106389148,5,-1.408134935,-0.062079358,6,0.711699216,-0.45596774
3,8,-0.849091498,6,6,-0.301595027,7,0.929839928,5,6,-0.271891354,6,0.970794832,0.013782139,5,-0.159330663,0.423275313,6,1.197390038,-1.903616529
4,4,1.316084666,6,6,-0.376497982,4,-2.803029647,3,5,0.627933984,2,-0.690947607,0.521844097,5,-0.961644812,-1.618836793,5,0.173132396,0.267148332
7,3,0.883833675,4,2,-0.653701575,4,2.490933877,4,5,-0.632765482,8,-1.819684108,0.627926214,5,0.713930278,1.304897751,5,0.560154806,0.22892332
5,4,1.508606904,5,8,0.795210744,5,-2.157952146,5,6,0.528279668,3,-0.177509932,-1.188920431,6,0.205709746,-1.166054619,4,-1.809561574,0.24491292
1,2,-0.496920551,6,7,-0.744284628,4,-2.838228616,4,4,0.839138534,3,0.801905239,0.002092861,6,0.814635557,-1.275504763,5,0.609776132,0.420341036
8,6,-0.51518046,6,6,-0.5853307,6,3.534761405,8,4,-2.04884694,3,1.461218732,-1.29690364,5,-1.734778396,-0.20684133,6,0.345379527,-0.977426768
4,2,-0.099760117,3,4,0.527251026,4,1.723197115,5,5,-0.516578317,6,0.456829051,-0.301383375,3,0.303149404,0.761699173,7,0.370074454,1.13439759
5,7,0.665347892,4,9,-0.176409707,8,-0.977239921,5,4,0.857859443,7,0.491088381,-1.631395901,6,0.45578322,0.578430271,4,-0.817207658,-1.28538459
4,3,-2.40101986,4,6,-1.005915558,4,1.113827054,4,6,-0.736405427,4,0.205625649,2.355278609,5,-0.365056496,-0.227583601,5,0.665857872,-0.956972215
4,4,-0.954310695,5,7,1.666530499,3,2.455625173,5,5,-0.615557339,8,-0.668005322,1.904173174,5,-0.433670949,1.301136977,3,-0.579885205,-0.087298414
4,6,-1.268638224,6,7,0.454030561,5,-2.689508713,6,5,1.494709205,7,0.564926357,-0.082439138,7,0.624355907,0.042541036,7,-0.81333081,1.265007117
6,3,0.328487195,4,3,0.452999493,7,3.005001434,5,5,-1.76009064,3,-0.090437971,-1.231642511,4,0.96808975,-0.208586747,6,-0.812462293,1.033769245
